text,text_lower,lemma_lower,part_of_speech
Politics,politics,politic,NOUN
Government,government,government,PROPN
Fourth,fourth,fourth,PROPN
Transformation,transformation,transformation,PROPN
involved,involved,involve,VERB
substantive,substantive,substantive,ADJ
changes,changes,change,NOUN
legislative,legislative,legislative,ADJ
matters,matters,matter,NOUN
strengthen,strengthen,strengthen,VERB
government,government,government,NOUN
institutions,institutions,institution,NOUN
decision,decision,decision,NOUN
making,making,making,NOUN
Federal,federal,federal,PROPN
Executive,executive,executive,PROPN
Undoubtedly,undoubtedly,undoubtedly,ADV
required,required,require,VERB
intense,intense,intense,ADJ
legal,legal,legal,ADJ
activity,activity,activity,NOUN
grants,grants,grant,VERB
certainty,certainty,certainty,NOUN
transparency,transparency,transparency,NOUN
affairs,affairs,affair,NOUN
federal,federal,federal,ADJ
government,government,government,NOUN
time,time,time,NOUN
governance,governance,governance,NOUN
guaranteed,guaranteed,guarantee,VERB
government,government,government,NOUN
orders,orders,order,NOUN
new,new,new,ADJ
forms,forms,form,NOUN
operation,operation,operation,NOUN
social,social,social,ADJ
sector,sector,sector,NOUN
caughled,caughled,caughle,VERB
include,include,include,VERB
privileged,privileged,privileged,ADJ
defense,defense,defense,NOUN
human,human,human,ADJ
rights,rights,right,NOUN
formulate,formulate,formulate,VERB
actions,actions,action,NOUN
improve,improve,improve,VERB
religious,religious,religious,ADJ
freedom,freedom,freedom,NOUN
transform,transform,transform,VERB
National,national,national,PROPN
Commission,commission,commission,PROPN
Development,development,development,PROPN
Indigenous,indigenous,indigenous,PROPN
Peoples,peoples,peoples,PROPN
New,new,new,PROPN
National,national,national,PROPN
Institute,institute,institute,PROPN
Indigenous,indigenous,indigenous,PROPN
Peoples,peoples,peoples,PROPN
Eradicating,eradicating,eradicate,VERB
corruption,corruption,corruption,NOUN
dispenser,dispenser,dispenser,NOUN
frivolity,frivolity,frivolity,NOUN
Government,government,government,PROPN
Mexico,mexico,mexico,PROPN
priority,priority,priority,NOUN
combating,combating,combat,VERB
corruption,corruption,corruption,NOUN
impunity,impunity,impunity,NOUN
regard,regard,regard,NOUN
measures,measures,measure,NOUN
implemented,implemented,implement,VERB
prevent,prevent,prevent,VERB
sanction,sanction,sanction,NOUN
corruption,corruption,corruption,NOUN
addition,addition,addition,NOUN
promoting,promoting,promote,VERB
new,new,new,ADJ
public,public,public,ADJ
ethics,ethics,ethic,NOUN
Federal,federal,federal,PROPN
Public,public,public,PROPN
Administration,administration,administration,PROPN
APF,apf,apf,PROPN
February,february,february,PROPN
new,new,new,ADJ
code,code,code,NOUN
ethics,ethics,ethic,NOUN
public,public,public,ADJ
servants,servants,servant,NOUN
federal,federal,federal,ADJ
government,government,government,NOUN
published,published,publish,VERB
Official,official,official,PROPN
Journal,journal,journal,PROPN
Federation,federation,federation,PROPN
DOF,dof,dof,PROPN
Ethics,ethics,ethics,PROPN
Conflict,conflict,conflict,PROPN
Prevention,prevention,prevention,PROPN
Committees,committees,committees,PROPN
republican,republican,republican,ADJ
austerity,austerity,austerity,NOUN
measures,measures,measure,NOUN
disseminated,disseminated,disseminate,VERB
rules,rules,rule,NOUN
values,values,value,NOUN
