text,text_lower,label
the Federal Executive,the federal executive,ORG
the National Commission for the Development of Indigenous Peoples,the national commission for the development of indigenous peoples,ORG
the New National Institute of Indigenous Peoples,the new national institute of indigenous peoples,ORG
Mexico,mexico,GPE
the Federal Public Administration,the federal public administration,ORG
the Official Journal of the Federation (DOF,the official journal of the federation (dof,ORG
the 303 Ethics and Conflict Prevention Committees,the 303 ethics and conflict prevention committees,ORG
republican,republican,NORP
Guide for the Preparation and Update of the Code of Conduct and Entities of the Federal Public Administration,guide for the preparation and update of the code of conduct and entities of the federal public administration,WORK_OF_ART
State,state,ORG
Undersecretarios,undersecretarios,ORG
the General Law of Administrative Responsibilities,the general law of administrative responsibilities,LAW
ICO,ico,ORG
OIC,oic,ORG
the Secretariat of Public Service,the secretariat of public service,ORG
Mexico,mexico,GPE
International Airport,international airport,FAC
Mexico City,mexico city,GPE
States,states,GPE
republican,republican,NORP
Republican,republican,NORP
Republican,republican,NORP
State,state,ORG
PEF,pef,ORG
the Organic Law of,the organic law of,LAW
the Federal Public Administration,the federal public administration,ORG
DOF,dof,GPE
the Ministry of Finance and Public Credit,the ministry of finance and public credit,ORG
the Federal Public Administration,the federal public administration,ORG
the Federal Salary Tab,the federal salary tab,ORG
the Federal Public Administration,the federal public administration,ORG
the Republic 47.2 Secretaries,the republic 47.2 secretaries,ORG
State,state,ORG
PEF,pef,ORG
the Federal Government,the federal government,ORG
Generate,generate,ORG
the Executive Branch,the executive branch,ORG
the Republican,the republican,ORG
the Chamber of Deputies,the chamber of deputies,ORG
Senate,senate,ORG
State,state,ORG
Federation,federation,ORG
the Federal Public Administration,the federal public administration,ORG
Subsecretarios de Status and Superiors,subsecretarios de status and superiors,ORG
Comptroller,comptroller,ORG
• Social Comptroller,• social comptroller,ORG
Federal Entities,federal entities,ORG
• Social Comptroller's,• social comptroller's,ORG
the Social Comptroller's Computer System,the social comptroller's computer system,ORG
Social Comptroller Committees,social comptroller committees,ORG
Mexico City,mexico city,GPE
APF,apf,ORG
the Federal Public Administration,the federal public administration,ORG
OIC,oic,ORG
International Women's Day,international women's day,ORG
OIC,oic,ORG
PanStototal,panstototal,ORG
Nominal,nominal,NORP
Directorate,directorate,PERSON
Directorate,directorate,ORG
"2,01638.0 Department Department","2,01638.0 department department",ORG
"2,97838.5p / Preliminary Figures","2,97838.5p / preliminary figures",ORG
the Database of the Electronic RHnet,the database of the electronic rhnet,PERSON
Human,human,ORG
the Educa Portal of,the educa portal of,ORG
the National Commission on Human Rights (CNDH,the national commission on human rights (cndh,ORG
the Franco-Mexican Seminary,the franco-mexican seminary,ORG
the Public Service,the public service,ORG
the Embassy of France,the embassy of france,ORG
Mexico,mexico,GPE
Continuous,continuous,PERSON
the National Autonomous University of Mexico,the national autonomous university of mexico,ORG
Mexico,mexico,GPE
the National Institute of Women (Inmujeres,the national institute of women (inmujeres,ORG
CNDH,cndh,ORG
the United Nations Office,the united nations office,ORG
the Embassies of France,the embassies of france,ORG
Chile,chile,GPE
the National Security Law,the national security law,ORG
the National Anti-Corruption System,the national anti-corruption system,ORG
Mexico,mexico,GPE
Ordinary Session 2019,ordinary session 2019,EVENT
the Coordinating Committee,the coordinating committee,ORG
SFP,sfp,ORG
GlobalEaks,globaleaks,ORG
GlobalEaks,globaleaks,ORG
Mexico,mexico,GPE
the Inter-American Convention against Corruption (1996,the inter-american convention against corruption (1996,EVENT
the United Nations Convention against Corruption (,the united nations convention against corruption (,ORG
the North American Free Trade Agreement,the north american free trade agreement,ORG
Treaty,treaty,ORG
the United Mexican States,the united mexican states,GPE
the United States of America,the united states of america,GPE
Canada,canada,GPE
the Memorandum of Understanding,the memorandum of understanding,WORK_OF_ART
the Liaison and Partnership Office,the liaison and partnership office,ORG
Mexico,mexico,GPE
the United Nations Office,the united nations office,ORG
Republican,republican,NORP
Mexico,mexico,GPE
Mexico,mexico,GPE
the Federal Executive,the federal executive,ORG
Federation,federation,ORG
the National Guard,the national guard,ORG
Mexico,mexico,GPE
CPTM,cptm,ORG
the Official Journal of the Federation (DOF,the official journal of the federation (dof,ORG
the Ministry of Economy,the ministry of economy,ORG
Law,law,PERSON
The Tourist Promotion Council of Mexico,the tourist promotion council of mexico,ORG
S.A,s.a,GPE
C.V.,c.v.,GPE
the Ministry of Foreign Affairs,the ministry of foreign affairs,ORG
Mexico,mexico,GPE
Pinos,pinos,PERSON
MDP,mdp,ORG
Metholatónoc,metholatónoc,PERSON
the Mountain of the State of Guerrero,the mountain of the state of guerrero,LOC
the Los Pinos Cultural Complex,the los pinos cultural complex,ORG
Relevant,relevant,ORG
MDP,mdp,ORG
the Attorney General's Office,the attorney general's office,ORG
25.6 mdp,25.6 mdp,QUANTITY
Santa María Zaniza,santa maría zaniza,ORG
Santos,santos,GPE
the State of Oaxaca,the state of oaxaca,GPE
0.92 mdp and 0.04 mdp,0.92 mdp and 0.04 mdp,QUANTITY
MDP,mdp,ORG
Coalcomán,coalcomán,GPE
Michoacán,michoacán,GPE
The National Bank of Public Works and Services,the national bank of public works and services,ORG
the United Nations Office of Projects Services,the united nations office of projects services,ORG
